username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
snazzyhandria;2017-12-14 23:57;0;0;"#SaudiMovieTitles give me the big laugh https:// twitter.com/MiddleEastEye/ status/941242629299335169 …";;;#SaudiMovieTitles;"941426966372040704";https://twitter.com/snazzyhandria/status/941426966372040704
NotNourali;2017-12-14 23:43;0;0;"Mystic Kabsa #SaudiMovieTitles";;;#SaudiMovieTitles;"941423377645998081";https://twitter.com/NotNourali/status/941423377645998081
Azodiac83;2017-12-14 23:40;0;4;"Rules of Engagement #SaudiMovieTitles";;;#SaudiMovieTitles;"941422665855840262";https://twitter.com/Azodiac83/status/941422665855840262
NotNourali;2017-12-14 23:34;0;0;"Little khaima on the prairie #SaudiMovieTitles";;;#SaudiMovieTitles;"941421072850804736";https://twitter.com/NotNourali/status/941421072850804736
BComplex90;2017-12-14 21:54;0;0;"Last pray in Paris #SaudiMovieTitles";;;#SaudiMovieTitles;"941395875024183296";https://twitter.com/BComplex90/status/941395875024183296
TjpAbdul;2017-12-14 21:19;1;4;"Four Nikkahs & a Janazah. #SaudiMovieTitles";;;#SaudiMovieTitles;"941387197399355392";https://twitter.com/TjpAbdul/status/941387197399355392
chooobtarash;2017-12-14 21:12;0;4;"Jeddah by the Sea #SaudiMovieTitles";;;#SaudiMovieTitles;"941385407400259584";https://twitter.com/chooobtarash/status/941385407400259584
7amooodi1;2017-12-14 20:54;0;0;"Get kafel or die tryin #saudimovietitles";;;#saudimovietitles;"941380804038467585";https://twitter.com/7amooodi1/status/941380804038467585
sarah_alsaeedi;2017-12-14 20:32;1;1;"After 35 years Saudi Arabia finally decides to end the ban and open movie theatres #SaudiMovieTitles pic.twitter.com/c0T6hlrmyO";;;#SaudiMovieTitles;"941375331717537792";https://twitter.com/sarah_alsaeedi/status/941375331717537792
ali_z75;2017-12-14 20:30;0;5;"Arabian pie #SaudiMovieTitles";;;#SaudiMovieTitles;"941374882629201920";https://twitter.com/ali_z75/status/941374882629201920
Mezo_Ghaleb;2017-12-14 19:49;0;0;"Saudis on a plane #SaudiMovieTitles";;;#SaudiMovieTitles;"941364457669824512";https://twitter.com/Mezo_Ghaleb/status/941364457669824512
ali97rey;2017-12-14 19:09;0;5;"#SaudiMovieTitles این هشتگ رو بخونید روانتون پاک میشه تو خارج هم مخ ردی مث خودمون زیاده";;;#SaudiMovieTitles;"941354565512900608";https://twitter.com/ali97rey/status/941354565512900608
PMR0731;2017-12-14 19:08;1;5;"اين هشتگ را دنبال کنيد #SaudiMovieTitles";;;#SaudiMovieTitles;"941354272800862208";https://twitter.com/PMR0731/status/941354272800862208
moohib;2017-12-14 18:54;0;1;"The Curious Case of Muhammad Bin Sultan #SaudiMovieTitles #Cenima #KSA";;;#SaudiMovieTitles #Cenima #KSA;"941350797480202242";https://twitter.com/moohib/status/941350797480202242
BrokenNixon;2017-12-14 18:08;0;2;"Pipelines Wide Shot #SaudiMovieTitles";;;#SaudiMovieTitles;"941339123142594560";https://twitter.com/BrokenNixon/status/941339123142594560
michaelreuss;2017-12-14 17:36;2;0;"#SaudiMovieTitles Al lah Land";;;#SaudiMovieTitles;"941330959680589825";https://twitter.com/michaelreuss/status/941330959680589825
michaelreuss;2017-12-14 17:34;0;1;"#SaudiMovieTitles Some like it hot";;;#SaudiMovieTitles;"941330635385434118";https://twitter.com/michaelreuss/status/941330635385434118
michaelreuss;2017-12-14 17:33;0;0;"#SaudiMovieTitles Lawless in Arabia";;;#SaudiMovieTitles;"941330314802155521";https://twitter.com/michaelreuss/status/941330314802155521
michaelreuss;2017-12-14 17:31;0;0;"#SaudiMovieTitles Citizens caned";;;#SaudiMovieTitles;"941329725632507905";https://twitter.com/michaelreuss/status/941329725632507905
nassie54;2017-12-14 17:29;0;1;"You know what you did last ramadan #SaudiMovieTitles";;;#SaudiMovieTitles;"941329180062638080";https://twitter.com/nassie54/status/941329180062638080
nassie54;2017-12-14 17:26;0;0;"Harry Potter and the political prisoner #SaudiMovieTitles";;;#SaudiMovieTitles;"941328491483713537";https://twitter.com/nassie54/status/941328491483713537
Moh4madness;2017-12-14 17:24;0;2;"sinderellah Sheikh #SaudiMovieTitles";;;#SaudiMovieTitles;"941328078990659584";https://twitter.com/Moh4madness/status/941328078990659584
najdier_ENG;2017-12-14 16:52;0;0;"#SaudiMovieTitles Captain Arabia: The Summer Sandals";;;#SaudiMovieTitles;"941319972277702657";https://twitter.com/najdier_ENG/status/941319972277702657
Ermmias;2017-12-14 16:20;0;0;"Captain Saudi #SaudiMovieTitles";;;#SaudiMovieTitles;"941312039615594496";https://twitter.com/Ermmias/status/941312039615594496
Sir_Algon;2017-12-14 15:59;0;0;"#SaudiMovieTitles two and half iman";;;#SaudiMovieTitles;"941306555118637057";https://twitter.com/Sir_Algon/status/941306555118637057
Sir_Algon;2017-12-14 15:58;3;0;"#SaudiMovieTitles the devil wears abaya";;;#SaudiMovieTitles;"941306430552002560";https://twitter.com/Sir_Algon/status/941306430552002560
Mastinqe;2017-12-14 15:25;1;3;"How i beheaded your mom #SaudiMovieTitles";;;#SaudiMovieTitles;"941298153973743618";https://twitter.com/Mastinqe/status/941298153973743618
Sheykhena;2017-12-14 15:14;1;10;"Om Sheyla and 7 sheykhs #SaudiMovieTitles";;;#SaudiMovieTitles;"941295278086291456";https://twitter.com/Sheykhena/status/941295278086291456
